AP1130 Power Channel DFS Test Specific (Cario-20120515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antenna Gain(dbi):,,,2.4G:,,3,,5G:,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Gain(db):,,,2*2:,,3,,3*2:,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Code,,Channel Mode,2.4G HT20,,,,,,,,,,,,,5G HT20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Channel,1,2,3,4,5,6,7,8,9,10,11,12,13,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,149,153,157,161,165,,,,
Romania,642,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,703,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,705,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,710,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,752,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,o,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Á,¡Á,¡Á,¡Á,¡Á,?,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Á,¡Á,¡Á,¡Á,¡Á,?,,,
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
